"Item_Identifier,Outlet_Identifier,Item_Outlet_Sales",Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
"FDW58,OUT049,",FDW58,OUT049,2330.6550933333338
"FDW14,OUT017,",FDW14,OUT017,1300.1298533333331
"NCN55,OUT010,",NCN55,OUT010,560.4704399999999
"FDQ58,OUT017,",FDQ58,OUT017,2645.8448133333336
"FDY38,OUT027,",FDY38,OUT027,4753.634453333333
"FDH56,OUT046,",FDH56,OUT046,2303.4460666666664
"FDL48,OUT018,",FDL48,OUT018,1658.5521866666666
"FDC48,OUT027,",FDC48,OUT027,2260.6129333333333
"FDN33,OUT045,",FDN33,OUT045,1738.4038
"FDA36,OUT017,",FDA36,OUT017,2282.0516933333333
"FDT44,OUT017,",FDT44,OUT017,1781.6808000000003
"FDQ56,OUT045,",FDQ56,OUT045,1748.0800933333335
"NCC54,OUT019,",NCC54,OUT019,395.66274666666675
"FDU11,OUT049,",FDU11,OUT049,2123.2362000000003
"DRL59,OUT013,",DRL59,OUT013,1277.2707200000002
"FDM24,OUT049,",FDM24,OUT049,2487.606346666667
"FDI57,OUT045,",FDI57,OUT045,2710.205479999999
"DRC12,OUT018,",DRC12,OUT018,2271.5320533333334
"NCM42,OUT027,",NCM42,OUT027,2616.8603200000002
"FDA46,OUT010,",FDA46,OUT010,460.3341199999999
"FDA31,OUT013,",FDA31,OUT013,3010.0818000000004
"NCJ31,OUT035,",NCJ31,OUT035,2532.214946666667
"FDG52,OUT046,",FDG52,OUT046,1525.5697333333333
"NCL19,OUT019,",NCL19,OUT019,297.34628
"FDS10,OUT035,",FDS10,OUT035,3209.511093333333
"FDX22,OUT010,",FDX22,OUT010,406.8038
"NCF19,OUT035,",NCF19,OUT035,1803.11956
"NCE06,OUT046,",NCE06,OUT046,2342.373173333334
"DRC27,OUT046,",DRC27,OUT046,3028.2803333333336
"FDE21,OUT035,",FDE21,OUT035,1481.8044799999998
"NCR42,OUT019,",NCR42,OUT019,256.46616
"FDX51,OUT018,",FDX51,OUT018,2351.2505066666663
"NCR06,OUT018,",NCR06,OUT018,1225.2051600000002
"FDU31,OUT027,",FDU31,OUT027,5699.247999999999
"FDU59,OUT017,",FDU59,OUT017,2569.05588
"FDR03,OUT027,",FDR03,OUT027,5188.17992
"FDS49,OUT027,",FDS49,OUT027,3523.3248266666665
"FDD48,OUT010,",FDD48,OUT010,263.56802666666664
"NCF18,OUT017,",NCF18,OUT017,3513.249053333333
"NCD43,OUT027,",NCD43,OUT027,2450.188386666667
"NCD54,OUT018,",NCD54,OUT018,1949.4180133333332
"FDY19,OUT010,",FDY19,OUT010,222.73229333333336
"NCY54,OUT017,",NCY54,OUT017,2579.131653333333
"NCL19,OUT018,",NCL19,OUT018,1883.9476799999998
"FDP23,OUT010,",FDP23,OUT010,529.9324133333333
"FDC26,OUT013,",FDC26,OUT013,1899.6605599999998
"FDR14,OUT010,",FDR14,OUT010,397.34943999999996
"NCS41,OUT035,",NCS41,OUT035,3012.7006133333334
"FDF41,OUT035,",FDF41,OUT035,3121.891813333333
"FDU34,OUT046,",FDU34,OUT046,2355.289693333333
"DRH11,OUT046,",DRH11,OUT046,2397.6345733333337
"FDM03,OUT013,",FDM03,OUT013,1958.7392133333333
"FDS31,OUT017,",FDS31,OUT017,3052.7817733333336
